temperature_moyenne,nb_lost_item
-0.46249999999999997,2
-0.4571428571428572,1
-0.44999999999999996,15
-0.442857142857143,4
-0.4375000000000002,6
-0.4375,5
-0.4374999999999998,2
-0.42500000000000004,11
-0.425,5
-0.4249999999999999,18
-0.4125,1
-0.4124999999999999,7
-0.4000000000000001,11
-0.4,16
-0.3999999999999999,1
-0.38749999999999996,11
-0.37500000000000006,6
-0.375,12
-0.3749999999999999,2
-0.36250000000000004,2
-0.36249999999999993,4
-0.35714285714285715,3
-0.35000000000000003,1
-0.35,7
-0.33750000000000013,18
-0.3375,4
-0.33749999999999997,14
-0.3285714285714287,19
-0.325,15
-0.31428571428571433,1
-0.31250000000000006,6
-0.3125,12
-0.3000000000000001,10
-0.30000000000000004,12
-0.3,26
-0.29999999999999993,5
-0.28750000000000003,2
-0.2874999999999999,1
-0.27500000000000024,2
-0.275,8
-0.2624999999999999,3
-0.2500000000000001,2
-0.24999999999999994,29
-0.2375000000000001,6
-0.23749999999999993,3
-0.23749999999999988,2
-0.22857142857142862,4
-0.2250000000000001,3
-0.22500000000000006,3
-0.225,3
-0.22499999999999998,19
-0.21666666666666667,1
-0.21428571428571427,3
-0.21250000000000008,5
-0.21250000000000002,1
-0.19999999999999998,5
-0.19999999999999996,1
-0.1875,30
-0.18749999999999997,2
-0.18571428571428564,5
-0.175,55
-0.17142857142857157,11
-0.1625000000000001,22
-0.16250000000000006,19
-0.16249999999999987,2
-0.15714285714285708,1
-0.15000000000000008,7
-0.15000000000000002,11
-0.1499999999999999,17
-0.13750000000000007,2
-0.13750000000000004,1
-0.1375,6
-0.1285714285714286,6
-0.11428571428571428,22
-0.11250000000000004,9
-0.11250000000000002,6
-0.11249999999999999,17
-0.1,2
-0.09999999999999999,2
-0.09999999999999998,32
-0.08750000000000004,22
-0.08750000000000002,48
-0.08750000000000001,6
-0.0875,22
-0.08749999999999998,2
-0.07500000000000007,9
-0.07142857142857142,10
-0.07142857142857137,2
-0.06250000000000001,21
-0.0625,8
-0.0500000000000001,6
-0.050000000000000065,1
-0.050000000000000044,7
-0.04999999999999996,2
-0.04285714285714285,1
-0.04285714285714283,1
-0.04,1
-0.03750000000000009,14
-0.037500000000000026,1
-0.037500000000000006,5
-0.03749999999999998,2
-0.03749999999999992,5
-0.025000000000000022,22
-0.02500000000000002,1
-0.025,22
-0.024999999999999994,9
-0.014285714285714294,7
-0.012500000000000053,1
-0.012499999999999994,3
-0.012499999999999956,3
-5.551115123125783e-17,5
0.0,8
1.3877787807814457e-17,1
0.012499999999999942,1
0.012499999999999956,4
0.012500000000000011,13
0.02499999999999991,5
0.024999999999999967,3
0.025000000000000022,12
0.025000000000000036,5
0.03749999999999995,4
0.03749999999999998,1
0.03750000000000003,3
0.03750000000000004,1
0.05,6
0.05000000000000001,1
0.05000000000000003,4
0.050000000000000044,11
0.06249999999999997,1
0.0625,4
0.06250000000000003,1
0.0714285714285714,3
0.07499999999999996,6
0.075,1
0.07500000000000001,1
0.07500000000000007,1
0.08571428571428553,12
0.08571428571428563,1
0.08749999999999991,5
0.08749999999999997,2
0.0875,16
0.08750000000000008,2
0.09999999999999998,19
0.10000000000000002,2
0.10000000000000003,22
0.10000000000000005,1
0.11249999999999988,21
0.11249999999999993,3
0.11249999999999999,10
0.11428571428571432,3
0.11666666666666664,17
0.12499999999999997,23
0.125,9
0.12500000000000003,2
0.12500000000000006,1
0.1375,1
0.14999999999999997,17
0.15000000000000002,2
0.1571428571428571,19
0.16249999999999995,25
0.1625,20
0.16250000000000003,1
0.1625000000000001,8
0.17500000000000004,2
0.18571428571428575,5
0.18749999999999997,2
0.1875,26
0.18750000000000003,1
0.18750000000000008,3
0.19999999999999998,18
0.20000000000000007,1
0.2125,31
0.22499999999999998,15
0.225,7
0.22500000000000003,15
0.2250000000000002,2
0.2285714285714285,4
0.23749999999999996,15
0.2375,14
0.23750000000000016,1
0.24999999999999992,6
0.24999999999999997,15
0.25,20
0.25000000000000006,1
0.2624999999999999,6
0.2625,23
0.27499999999999986,3
0.27499999999999997,1
0.275,15
0.2875,21
0.28750000000000003,6
0.2875000000000001,2
0.29999999999999993,6
0.3,14
0.30000000000000004,33
0.3125,26
0.32499999999999984,2
0.32499999999999996,6
0.325,33
0.32500000000000007,11
0.33749999999999997,8
0.3375,43
0.3375000000000001,5
0.35,11
0.35000000000000003,3
0.36249999999999993,8
0.3625,6
0.36250000000000004,8
0.37499999999999994,8
0.375,5
0.38571428571428573,1
0.3875,2
0.3999999999999999,2
0.39999999999999997,2
0.4,3
0.4000000000000001,1
0.40000000000000013,21
0.41250000000000003,16
0.42499999999999993,1
0.425,4
